player_stats_id,player_id,game_id,PaComp,PaAtt,PaYd,PaTD,PaINT,RuAtt,RuYd,RuTD,Target,Rec,ReYd,ReTD
159,159,2024090809,,,,,,0,0,0,6,5,59,0
160,160,2024090805,,,,,,2,19,0,7,3,40,0
161,161,2024090808,,,,,,1,14,0,12,6,44,0
162,162,2024090501,,,,,,0,0,0,5,2,53,0
163,163,2024090801,,,,,,0,0,0,7,4,52,0
164,164,2024090802,,,,,,0,0,0,5,4,51,0
165,165,2024090802,,,,,,1,4,0,8,6,47,0
166,166,2024090501,,,,,,2,14,0,10,6,37,0
167,167,2024090601,,,,,,0,0,0,7,4,50,0
168,168,2024090803,,,,,,1,14,0,8,5,36,0
169,169,2024090803,,,,,,0,0,0,7,3,50,0
170,170,2024090807,,,,,,0,0,0,4,3,49,0
171,171,2024090810,,,,,,0,0,0,8,5,45,0
172,172,2024090807,,,,,,1,3,0,5,2,40,0
173,173,2024090813,,,,,,1,7,0,4,4,35,0
174,174,2024090813,,,,,,0,0,0,7,4,42,0
175,175,2024090810,,,,,,0,0,0,8,8,39,0
176,176,2024090809,,,,,,0,0,0,5,3,38,0
177,177,2024090810,,,,,,0,0,0,12,4,38,0
178,178,2024090808,,,,,,0,0,0,4,3,35,0
179,179,2024090807,,,,,,0,0,0,7,4,35,0
180,180,2024090805,,,,,,0,0,0,8,4,31,0
181,181,2024090806,,,,,,0,0,0,4,1,30,0
182,182,2024090803,,,,,,0,0,0,11,4,29,0
183,183,2024090810,,,,,,0,0,0,4,3,29,0
184,184,2024090901,,,,,,0,0,0,5,2,28,0
185,185,2024090804,,,,,,0,0,0,3,2,27,0
186,186,2024090804,,,,,,0,0,0,6,3,26,0
187,187,2024090808,,,,,,0,0,0,4,3,26,0
188,188,2024090501,,,,,,0,0,0,1,1,25,0
189,189,2024090809,,,,,,0,0,0,3,2,22,0
190,190,2024090804,,,,,,0,0,0,6,3,21,0
191,191,2024090807,,,,,,0,0,0,6,2,19,0
192,192,2024090803,,,,,,2,11,0,1,1,8,0
193,193,2024090812,,,,,,0,0,0,2,1,19,0
194,194,2024090810,,,,,,0,0,0,2,2,19,0
195,195,2024090802,,,,,,0,0,0,2,1,19,0
196,196,2024090803,,,,,,0,0,0,5,3,18,0
197,197,2024090811,,,,,,0,0,0,1,1,18,0
198,198,2024090812,,,,,,0,0,0,3,3,18,0
199,199,2024090812,,,,,,0,0,0,4,2,17,0
200,200,2024090811,,,,,,0,0,0,9,2,16,0
201,201,2024090801,,,,,,0,0,0,3,2,15,0
202,202,2024090801,,,,,,0,0,0,3,1,15,0
203,203,2024090809,,,,,,0,0,0,4,2,15,0
204,204,2024090802,,,,,,0,0,0,2,2,15,0
205,205,2024090812,,,,,,0,0,0,3,1,15,0
206,206,2024090807,,,,,,0,0,0,3,1,14,0
207,207,2024090813,,,,,,0,0,0,6,3,13,0
208,208,2024090804,,,,,,0,0,0,3,2,12,0
209,209,2024090813,,,,,,1,12,0,0,0,0,0
210,210,2024090811,,,,,,0,0,0,2,1,12,0
211,211,2024090803,,,,,,0,0,0,4,1,11,0
212,212,2024090807,,,,,,0,0,0,2,2,11,0
213,213,2024090809,,,,,,2,9,0,0,0,0,0
214,214,2024090811,,,,,,0,0,0,6,3,9,0
215,215,2024090809,,,,,,0,0,0,1,1,9,0
216,216,2024090803,,,,,,0,0,0,1,1,8,0
217,217,2024090801,,,,,,0,0,0,2,1,7,0
218,218,2024090501,,,,,,0,0,0,1,1,6,0
219,219,2024090803,,,,,,0,0,0,2,1,6,0
220,220,2024090804,,,,,,0,0,0,2,1,6,0
221,221,2024090804,,,,,,0,0,0,1,1,6,0
222,222,2024090807,,,,,,0,0,0,1,1,6,0
223,223,2024090812,,,,,,0,0,0,1,1,5,0
224,224,2024090804,,,,,,0,0,0,1,1,5,0
225,225,2024090802,,,,,,0,0,0,3,1,4,0
226,226,2024090803,,,,,,2,1,0,2,1,2,0
227,227,2024090806,,,,,,1,3,0,0,0,0,0
228,228,2024090805,,,,,,0,0,0,1,1,3,0
229,229,2024090811,,,,,,0,0,0,1,1,3,0
230,230,2024090806,,,,,,0,0,0,1,1,3,0
231,231,2024090805,,,,,,0,0,0,5,1,2,0
232,232,2024090801,,,,,,0,0,0,2,1,1,0
233,233,2024090810,,,,,,1,1,0,1,1,0,0
234,234,2024090806,,,,,,0,0,0,2,0,0,0
235,235,2024090601,,,,,,0,0,0,1,0,0,0
236,236,2024090810,,,,,,0,0,0,1,0,0,0
237,237,2024090808,,,,,,0,0,0,1,0,0,0
238,238,2024090812,,,,,,1,0,0,0,0,0,0
239,239,2024090807,,,,,,0,0,0,1,0,0,0
240,240,2024090807,,,,,,0,0,0,1,0,0,0
241,241,2024090810,,,,,,0,0,0,1,0,0,0
242,242,2024090501,,,,,,0,0,0,1,0,0,0
243,243,2024090811,,,,,,0,0,0,1,0,0,0
244,244,2024090601,,,,,,0,0,0,3,0,0,0
245,245,2024090807,,,,,,0,0,0,0,0,0,0
246,246,2024090601,,,,,,0,0,0,1,0,0,0
247,247,2024090810,,,,,,0,0,0,1,0,0,0
248,248,2024090501,,,,,,,,,12,9,111,1
249,249,2024090807,,,,,,,,,4,4,43,1
250,250,2024090807,,,,,,,,,3,2,26,1
251,251,2024090801,,,,,,,,,3,3,26,1
252,252,2024090803,,,,,,,,,2,2,15,1
253,253,2024090809,,,,,,,,,8,6,58,0
254,254,2024090813,,,,,,,,,5,4,47,0
255,255,2024090813,,,,,,,,,5,4,45,0
256,256,2024090811,,,,,,,,,5,4,44,0
257,257,2024090901,,,,,,,,,5,4,40,0
258,258,2024090501,,,,,,,,,3,3,37,0
259,259,2024090601,,,,,,,,,3,2,37,0
260,260,2024090807,,,,,,,,,2,1,1,0
261,261,2024090501,,,,,,,,,4,3,34,0
262,262,2024090809,,,,,,,,,3,2,33,0
263,263,2024090601,,,,,,,,,5,4,31,0
264,264,2024090804,,,,,,,,,4,2,31,0
265,265,2024090802,,,,,,,,,9,5,30,0
266,266,2024090812,,,,,,,,,4,3,28,0
267,267,2024090811,,,,,,,,,4,3,27,0
268,268,2024090801,,,,,,,,,4,4,27,0
269,269,2024090808,,,,,,,,,2,2,27,0
270,270,2024090802,,,,,,,,,2,1,23,0
271,271,2024090804,,,,,,,,,4,3,18,0
272,272,2024090804,,,,,,,,,3,2,18,0
273,273,2024090804,,,,,,,,,3,2,18,0
274,274,2024090808,,,,,,,,,4,1,18,0
275,275,2024090805,,,,,,,,,3,3,16,0
276,276,2024090811,,,,,,,,,5,3,15,0
277,277,2024090808,,,,,,,,,3,2,15,0
278,278,2024090501,,,,,,,,,2,2,14,0
279,279,2024090809,,,,,,,,,1,1,13,0
280,280,2024090810,,,,,,,,,3,2,12,0
281,281,2024090802,,,,,,,,,2,2,12,0
282,282,2024090601,,,,,,,,,1,1,11,0
283,283,2024090810,,,,,,,,,4,2,11,0
284,284,2024090802,,,,,,,,,2,1,11,0
285,285,2024090803,,,,,,,,,2,2,11,0
286,286,2024090801,,,,,,,,,2,1,9,0
287,287,2024090806,,,,,,,,,2,1,7,0
288,288,2024090901,,,,,,,,,2,1,6,0
289,289,2024090806,,,,,,,,,1,1,6,0
290,290,2024090806,,,,,,,,,4,1,5,0
291,291,2024090812,,,,,,,,,2,1,5,0
292,292,2024090801,,,,,,,,,1,1,5,0
293,293,2024090803,,,,,,,,,1,1,4,0
294,294,2024090807,,,,,,,,,1,1,4,0
295,295,2024090801,,,,,,,,,2,1,4,0
296,296,2024090808,,,,,,,,,1,1,3,0
297,297,2024090805,,,,,,,,,2,1,3,0
298,298,2024090809,,,,,,,,,3,2,3,0
299,299,2024090813,,,,,,,,,1,1,2,0
300,300,2024090805,,,,,,,,,1,0,0,0
301,301,2024090813,,,,,,,,,1,0,0,0
302,302,2024090812,,,,,,,,,1,0,0,0
303,303,2024090805,,,,,,,,,1,0,0,0
304,304,2024090601,,,,,,,,,2,0,0,0
305,305,2024090901,,,,,,,,,1,0,0,0
306,306,2024090806,,,,,,,,,3,0,0,0
307,307,2024090810,,,,,,,,,1,0,0,0
308,308,2024090803,,,,,,,,,1,1,-1,0
309,15,2024091511,17,21,266,3,0,5,59,0,,,,
310,6,2024091601,23,30,183,1,1,13,85,1,,,,
311,7,2024091501,11,16,243,2,1,1,1,1,,,,
312,14,2024091505,17,26,268,2,1,5,32,0,,,,
313,2,2024091502,12,19,185,1,1,5,34,1,,,,
314,30,2024091513,23,36,258,2,0,6,9,0,,,,
