player_id,team_id,player_name,position,age,exp,injury_status
0162,3,Rashod Bateman,WR,,,
0163,2,Ray-Ray McCloud,WR,,,
0164,4,Keon Coleman,WR,,,
0165,1,Greg Dortch,WR,,,
0166,3,Zay Flowers,WR,,,
0167,12,Romeo Doubs,WR,,,
0168,6,D.J. Moore,WR,,,
0169,31,Calvin Ridley,WR,,,
0170,5,Adam Thielen,WR,,,
0171,10,Josh Reynolds,WR,,,
0172,5,Jonathan Mingo,WR,,,
0173,19,Puka Nacua,WR,,,
0174,19,Demarcus Robinson,WR,,,
0175,10,Devaughn Vele,WR,,,
0176,18,Quentin Johnston,WR,,,
0177,10,Courtland Sutton,WR,,,
0178,21,Jordan Addison,WR,,,
0179,5,Xavier Legette,WR,,,
0180,14,Michael Pittman Jr.,WR,,,
0181,15,Christian Kirk,WR,,,
0182,6,Keenan Allen,WR,,,
0183,29,DK Metcalf,WR,,,
0184,28,Brandon Aiyuk,WR,,,
0185,22,Tyquan Thornton,WR,,,
0186,7,Andrei Iosivas,WR,,,
0187,24,Darius Slayton,WR,,,
0188,16,Justin Watson,WR,,,
0189,17,Tre Tucker,WR,,,
0190,22,K.J. Osborn,WR,,,
0191,5,Diontae Johnson,WR,,,
0192,6,Velus Jones Jr.,WR,,,
0193,30,Trey Palmer,WR,,,
0194,29,Jaxon Smith-Njigba,WR,,,
0195,4,Marquez Valdes-Scantling,WR,,,
0196,31,Tyler Boyd,WR,,,
0197,9,Jalen Brooks,WR,,,
0198,32,Luke McCaffrey,WR,,,
0199,32,Terry McLaurin,WR,,,
0200,8,Amari Cooper,WR,,,
0201,2,Drake London,WR,,,
0202,2,Darnell Mooney,WR,,,
0203,18,Josh Palmer,WR,,,
0204,4,Curtis Samuel,WR,,,
0205,32,Olamide Zaccheaus,WR,,,
0206,5,David Moore,WR,,,
0207,11,Amon-Ra St. Brown,WR,,,
0208,22,Demario Douglas,WR,,,
0209,11,Kalif Raymond,WR,,,
0210,9,Jalen Tolbert,WR,,,
0211,6,Rome Odunze,WR,,,
0212,23,Chris Olave,WR,,,
0213,18,Derius Davis,WR,,,
0214,8,Elijah Moore,WR,,,
0215,17,D.J. Turner,WR,,,
0216,31,DeAndre Hopkins,WR,,,
0217,27,Calvin Austin,WR,,,
0218,3,Nelson Agholor,WR,,,
0219,6,DeAndre Carter,WR,,,
0220,7,Trenton Irwin,WR,,,
0221,22,Ja'Lynn Polk,WR,,,
0222,23,Mason Tipton,WR,,,
0223,32,Jamison Crowder,WR,,,
0224,7,Charlie Jones,WR,,,
0225,1,Marvin Harrison Jr.,WR,,,
0226,31,Treylon Burks,WR,,,
0227,15,Devin Duvernay,WR,,,
0228,13,Xavier Hutchinson,WR,,,
0229,8,Cedric Tillman,WR,,,
0230,15,Parker Washington,WR,,,
0231,14,Adonai Mitchell,WR,,,
0232,27,Van Jefferson,WR,,,
0233,29,Laviska Shenault,WR,,,
0234,20,Braxton Berrios,WR,,,
0235,26,Jahan Dotson,WR,,,
